speech,class
"It is absolutely untrue that they want to impose their religion, there is no such case. They only ask to be able to respect their religion (and that it is respected), even here in Italy.",1
"Our constitution guarantees freedom of worship, so it makes sense that Muslims have places of prayer for them.",1
Women do not belong to no one but themselves and the best way to preserve them is to combat violence commited by men against them.,1
And war it is.You don't pass over here troglodytes.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Careful don't trip over, there is a risk being blind;).",1
Excuse me but how many Arabs have you know personally?,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Islam is not a religion of hate; terrorism has different roots.,1
"Why cannot we talk to each other? In this way, we introduce them to our culture and us to theirs. It seems like a good compromise.",1
I exhort you to do some research and you'll find that only a small part of the Italian population is of islamic faith.,1
"Arabic, Islamic and terrorist are very different terms that we must learn to use. Arab: inhabitants of Arabia, Syria, Lebanon, Jordan and Iraq. Muslims: those who profess the religion of Islam Terrorists: Islam extremists.",1
Fanatics megalomaniacs. Don't delude you to find cowards waiting for you! We will pass on your dead body and also with great pleasure.,0
"Look, there are still.",1
"Muslims don't hate Christians. Some people, fanatical and radicalized want to cancel the other, it is on those that is necessary to act.",1
This statement is very cruel. Can you tell me if you strongly believe in this statement? Where does all this anger come from?,1
It seems to me that our women are raped by their relatives.,1
Are you comparing men to the beasts only because they have a different culture from you?,1
The number of mosques is related to the number of the faithful.,1
"I am not aware that there is a declaration of war to our country. We have, like all states, but much less than most of those in Europe, a small percentage of immigrants that are Muslim, about 3%.",1
Do you really think that an ordinary and innocent person like us should suffer violence? Why?,1
"The Arabs are not all terrorists. The extremists represent only a small part of the total Muslim population. We should not generalize, but dialogue.",1
"I would not make a religious issue, also Christians commit rape. The issue is not religious nor racial, those who behave in a certain way must be punished.",1
"Today is widespread hostility against the Islamic religion, your words are the proof. In fact the Islamists are nothing more than people who follow and believe in a monotheistic religion that has at its base the love of God and the brotherhood, nothing less than the Christian religion.",1
Muslims hate Christians. They want to kill all of us.,0
The Muslims are all fanatics and want to rule in our home!,0
Muslims hate Christians. They want to kill all of us.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
Islamics must adapt to our culture and not viceversa.,0
"Quite right! To each one their own women to rape, Italian women to Italians!",1
"The vast majority of the nearly two billion Muslims are normal people, like me or you, absolutely peaceful. Few radicalized individuals should not make us generalize. In Italy we also had the indigenous terrorism, this should not allow anyone to do the Italian = terrorist juxtaposition.",1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
Why where there is a Muslim community there shouldn't be a mosque?,1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
A real Islamic invasion is taking place.,0
"With violence and wars nothing good is gained, we must instead seek a peaceful solution. If you inform yourself, you will find out that the Arabs are not all terrorists and some are not even Muslims.",1
"Generalizing has never led to anything good. I remind you that even in Italy we have had our terrorists. Saying that all Arabs are terrorists because of few individuals is like saying that all Christians are terrorists of the Red Brigades at home, for example.",1
If the word femicide exists in our vocabulary it is because neither the Italian males are so quiet!,1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
The number of mosques in Italy is insignificant compared to the churches and there are no data to show that this number is likely to increase so sharply.,1
"Italy is a laic state and being a place of education for children should be an occasion of comparison between cultures, beyond these controversies.",1
"Terrorism is not a manifestation of Islam, but that is a religion of peace.",1
No religion was born for war. Violent are just a small tiny part that has nothing to do with the Islamic religion like Christianity is a monotheistic religion that is based on the love of God and the brotherhood.,1
Do you have any statistic that proves that they are all terrorists? Or are you just generalizing.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"The skin odor that I think you are referring to should not be a reason for discrimination, we are all human after all.",1
"Hi, do you really believe that a peaceful community, whose religion is based on love and brotherhood will lead to a historic recurrence?",1
"I do not think that people requesting political asylum in Italy come here for no reason. They flee because in their homeland there wasn't a situation that favoured their stay. We cannot talk about a replacement because the Muslim population represents only a small part of the total Italian population. Men do not hit women, and only the most radical forms of Islam impose the burqa.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"There are Catholic churches all around the world, even in non-Christian countries, so why would not be correct to allow the construction of mosques in Italy?",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
Not all Muslims want to impose their beliefs. Generalization is never good!,1
I am not aware that the Arab citizens (which by the way are also Christians) arrive in our country to control and impose their laws: many practice their religion in full compliance with those of others.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
They are replacing us in our house! They should remain at their home to put on the burqa and beat their wives.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
Being Muslim is not synonymous of terrorist.,1
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
Die islamic!,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"A criminal should be treated like a criminal, a person - even if with a religious belief different from mine - must be respected as a person.",1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"Watch out historical recurrences, this time blast-furnace will light!",0
Your statement is a lawsuit.,1
Muslims hate Christians. They want to kill all of us.,0
"Damn bastards, they want us to close all churches.",0
Islamics must adapt to our culture and not viceversa.,0
They impose us their culture.,0
In Italy is taking place a real religious replacement.,0
"Generalizing is always wrong, while acknowledging how some crimes are horrendous. Many people try to integrate in our society or anyway they never intended to hurt anyone.",1
"Unfortunately, terrorism is a reality, but it has nothing to do with religious faith. The terrorists, the fanatics, the violent exist in every country, in every culture, in every religion.",1
"Stupid generalizations, serious and dangerous.",1
I do not think that religion is a matter of competition.,1
It remembers a bad racist propaganda towards those who did not adhere to Nazism.,1
Muslims hate Christians. They want to kill all of us.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"In Italy as in all countries of the world, there are civilized and uncivilized people, you should support all women and help them to rebel, beyond that they freely choose to wear the veil or not.",1
"What do you mean with the term 'Arab'? If you refer to who profess Islamic faith, not necessarily they coincide with the inhabitants of the Arab countries, as in these countries also live minorities of Christians.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"We want the borders of Europe closed! And the removal of Africanization and Islam !! They have no tolerance, and with the same tolerance they should be sent home!",0
"Try to inform yourself and you will see that it is not so. Indeed, precisely because the mosques are not so common is difficult to many Italian Muslims to reach their place of worship.",1
"But if they barely manage to reach the Italian coast without dying, how do you believe that they can impose on an entire nation?",1
I do not think they have an interest in putting the veil on non-Muslim women.,1
"They began to build mosques everywhere, and so they compete with our churches.",0
And for the Italian rapists what do you propose? Because they represent the majority of the cases.,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Violence against women is a problem that does not refer to religion! What about all cases of violence committed by the Italians?,1
"It seems to me there is a lot of violence in your comment, can you do me the courtesy to explain the source of your hatred?",1
Islamics must adapt to our culture and not viceversa.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
"Hi, do you really believe that the solution to the problem is to bomb other people?",1
And war it is.You don't pass over here troglodytes.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
A real Islamic invasion is taking place.,0
What diseases in particular do you believe that they will transmit?,1
"They began to build mosques everywhere, and so they compete with our churches.",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Italy provides religious freedom, no one can impose religious symbols of a different confession to anyone.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
Islamics always lie and take advantage of everything.,0
A despotic statement that not even Attila would share.,1
"The fundamentalism want to impose their own religions, and we have fundamentalism not just from Islamic but also Catholic, Jewish etc.",1
Muslims hate Christians. They want to kill all of us.,0
"Hi, the Muslim religion does not admit in its instructions so atrocious acts. Those who act in this way go against their faith, I would never equate criminals with everyone else who practice their religion peacefully.",1
I do not share your statement. Muslim migrants arriving in Italy seek help because they are the first to be persecuted by the true fanatics in their home countries.,1
"At my child's school there is, and children from Muslim families do not say anything.",1
"Hi, maybe you should inquire about the fact that Islam has nothing to do with isis which is fanaticism and extremism. So I see no reason to wish death to a person whose only 'crime' is to believe in a peaceful religion.",1
"There is no invasion, the Muslim population in Italy does not exceed 5%.",1
"In Islam, a woman can choose to wear the veil or not. Furthermore, the Quran teaches good Muslims to respect other religions.",1
"Even the mother of idiots is always pregnant, this does not mean that we can assume the right to castrate it.",1
"There are definitely (few) people who hate Christians. There are Christians who have killed and destroyed entire Muslim countries, raped their daughters and killed their wives.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Hi, data actually affirm that most of the immigrants are of Orthodox Christian faith and Muslims are less than 5%. In addition to the fact that those who claim to want to impose sharia does not seem like they really inspire from the assertions made by their religion.",1
"Forgive me, but the second part of your statement made me smile, why do you want to send they home on boats, if I may ask?",1
"I am an Italian woman, and I feel neither a propriety of you nor threatened by Muslims.",1
"Hello, actually the couscous is also linked to our tradition, especially in south Italy and it is not a matter to impose a practice typical of another religion. Many food experts have recommended the introduction of this food (still a free choice) in school canteens because it is considered a suitable food for healthy nutrition.",1
Although terrorism is a phenomenon that has to be monitored not all Arabs are terrorists and generalize in this way leads to a lot of ignorance.,1
"No, it is a need that can be shared, no Catholic faithful is competing with others to pray.",1
And where did you took the data to make this statement from?,1
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
"The best answer to this fear is to defend your religion, not attack Islam; do you attend church regularly?",1
"Well, but we can choose the color .! What's your favorite?",1
How many beasts have Old Mcdonald? Ia-ia-oh.,1
In that sense there are more crucifixes in schools? To me it does not appear.,1
"Wearing the veil is a choice for the Muslim woman, its imposition or its prohibition on the other hand, are the result of oppression.",1
"In my experience, having known many Muslims, I must say that no one seemed particularly interested in organizing a coup to take power in Italy.",1
The number of mosques is irrilevant in relation to the number of churches.,1
Muslims hate Christians. They want to kill all of us.,0
Like all faithful they need places of worship. Christians have churches all over the world.,1
"Not all Muslims commit such terrible crimes, we must respect those that want to integrate normally doing nothing wrong.",1
Muslims hate Christians. They want to kill all of us.,0
These animals.,0
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"To me it does not seem that my friends that wear veils are offended whene they see other people without it, they got the license, they go out on their own and travel. Let's not throw the baby out with the bath water.",1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
And war it is.You don't pass over here troglodytes.,0
"Actually, Muslim people are very selective and do not like Western women.",1
"Living together starting from different roots and the cultural precondition is possible and it will be increasingly frequent and daily, but not easy, we must learn both us and them.",1
"Those that make attacks are not motivated by religion but by fanaticism that has nothing to do with religion, if not as an excuse.",1
"I don't think responding to violence with violence has ever solved the problem; I wish however to point out that generalizations like the one you made are misleading, some Arabs are terrorists, as some Italians are mobsters, but not all Arabs are terrorists and not all Italians are mobsters.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
You cannot generalize and blame for the crimes of a few fanatics thousands of others innocent people.,1
Terrorism has no faith and nationality. It's a deviation that takes possession of individuals.,1
You cannot think that the entire Muslim population dies. Why would you do something so horrible?,1
More competition = lower prices and cheap indulgences.,1
Islamics must adapt to our culture and not viceversa.,0
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"They began to build mosques everywhere, and so they compete with our churches.",0
"As if an American says 'Italians are all mobsters, we must respond with napalm'.",1
"Bombs on you, bad infamous people (enough is enough stinky)",0
Islamics must adapt to our culture and not viceversa.,0
"Damn bastards, they want us to close all churches.",0
The highest number of rapes on Italian women is committed by Italians.,1
Why do you want to do something so cruel? Where does your hatred come from?,1
"The Islam itself is against terrorism of jihad, we must work with Islam, not criminalize it.",1
Impossible! We have too many!,1
Competition in what sense?,1
"The only ones who have proposed me their religion were Jehovah's Witnesses, I said no thanks and they went away. I never experienced 'constraints.'.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
I perceive from your words a profound sense of rejection of these people that are nothing but people like us who professes a monotheistic religion devoted to love and brotherhood. The violent are just a small part.,1
Are we still in the Crusades? I thought it was 2019 .,1
"Crime has no color, nationality or religious affiliation. Throw the baby out with the bathwater is unfair and unfounded.",1
"Given the low number of who profess the Islamic faith in Italy, I doubt that this will be the case.",1
The home of humanity is the world for those who have not yet understood that it is becoming smaller and polluted every day.,1
"Many victims of terrorism are Arab people, as many terrorists in history have been Italian. Victims and offenders, including terrorism, haven't a specific ethnicity or skin colour.",1
They come to submit us. This is the ideological project that Islam has always pursued .,0
"Actually, Muslims have varied and beneficial business relations with the West, I do not think they want to kill us.",1
"It seems to me that it was us, Westerners, to colonize and to impose our domination of the planet, even this day.",1
"Terrorism has no ethnic origin. Terrorism is a problem but ethnicity, religion, skin colour, borders are not.",1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
They are replacing us in our house! They should remain at their home to put on the burqa and beat their wives.,0
In almost all Muslim countries the veil is a choice (of the woman or of the family) is not imposed by law. It is in Iran.,1
"Christians have set up crusades under the excuse of 'exterminating the infidels', we never heard about Muslims doing something like this.",1
How can you say that they want to kill us all?,1
They are replacing us in our house! They should remain at their home to put on the burqa and beat their wives.,0
Who is really in charge to combat terrorism would not agree with you.,1
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
Do you say that they are competitors on the market of religion?,1
"If you refer, as I imagine, to Islamic terrorists, it is true, there are Arab terrorists. Just as there are Italian mafia, but not for that I identify with them.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Although in Italy we have tens of thousands of Muslim immigrants, I do not remember many cases of bombs on our territory. Do you have different information?",1
"We must maintain our identity respecting their, and vice-versa.",1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
Muslims hate Christians. They want to kill all of us.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Who requires the construction of mosques is not interested in competing with those who go to church, but simply in creating a place to practice their religion.",1
"Hi, since in fact, the number of Muslims in Italy is equal to less than 5%, most of them profess their faith in full freedom and respect for cultures and faiths of others, without wanting to impose anything.",1
"I do not believe that this is the meaning of Islam; and for the more progressive Islam, the veil is an individual choice, not an imposition.",1
The beasts.,0
"Terrorism has no ethnic origin. Terrorism is a problem but ethnicity, religion, skin colour, borders are not.",1
Islamics must adapt to our culture and not viceversa.,0
The Muslims are all fanatics and want to rule in our home!,0
"Italy is a laic country, the school is a place for education and dialogue, not of worship.",1
"Certainly terrorism is a phenomenon that can and should worry, but it is kept under control and it is very unlikely that we will come to these levels.",1
"If you refer, as I imagine, to Islamic terrorists, it is true, there are Arab terrorists. Just as there are Italian mafia, but not for that I identify with them.",1
"No Arab country has declared its intention to conquer Italy, they know that wouldn't be worthwhile to anyone .",1
Where did you obtain this information from? Can you send me the source?,1
"They began to build mosques everywhere, and so they compete with our churches.",0
"Our Constitution thankfully forbids any form of physical violence against criminals. Castration, being an extreme form of violence, cannot be practiced in our state.",1
"The napalm? So when they are still 'at home'? How sad, stupid generalizations.",1
"Are you really sure? I suggest that you inform yourself before you write something. In this way, you do not have the risk to seem a liar.",1
Could you explain your point of view?,1
"Italy is a secular state. Our Constitution says that, so each school can decide whether to put the crucifix or not. In France, it is forbidden to show any religious symbols in schools. Everyone in Italy has the right to profess any religion.",1
"Think that Italians get married, but then they kill them with their children.",1
"In Italy Muslims are less than 5%, I personally would not call it an invasion.",1
"And to think that a certain Jesus said that we are all equal, but someone must have misunderstood.",1
"Actually, the largest foreign community in Italy is Romanian.",1
"Excuse me, but why should the Arabs want to conquer us with violence and bombs?",1
"I do not understand why you perceive this risk. Although some Muslims want to do that, we have a democratic state that protects us. We don't need to invent problems that do not exist.",1
"Muslims can never adapt to our traditions if we do not introduce them through dialogue. In this way, we could also receive information about their traditions.",1
And war it is.You don't pass over here troglodytes.,0
"It would be interesting to have information about this, can you provide them?",1
A real Islamic invasion is taking place.,0
"The Islamic terrorists actually are not very religious, they are second generation, grown in the absence of values ",1
It is never right to make generalizations.,1
"The vast majority of the nearly two billion Muslims are normal people, like me or you, absolutely peaceful. Few radicalized individuals should not make us generalize. In Italy we also had the indigenous terrorism, this should not allow anyone to do the Italian = terrorist juxtaposition.",1
"And who wins what do they do, resuscitate?",1
"These Muslims now want also to impose their food, only them should eat cous cous! I want my children to eat pork meat, which is good for them.",0
Excuse me but how many Arabs have you know personally?,1
It would be like saying that all Italians are mobsters and kill people with a shotgun or dissolve children in acid. You can never generalize.,1
They are replacing us in our house! They should remain at their home to put on the burqa and beat their wives.,0
"I invite you to learn more about the Islamic world, you will discover that Muslims are peaceful people and open to dialogue. Unfortunately, there are cases of extremism, but we can fight it using dialogue and cultural exchange.",1
"But who? It seems to me that, like many others, they simply want to express their faith freely.",1
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
"Castration according to belonging to a specific religion is something inhuman, being a Muslim does not mean being rapists.",1
"Who was Avveroé? Manzoni says this in his romance ""The Betrothed'. Avveroé was a sage, philosopher and also worthy exponent of the Islamic world when in the West heretics were burned.",1
"There are more than 800 churches only in Rome, and about 10 mosques (of which only 5 with the minaret). They are a minority: none (that I know) has ever had the need to build a new church, but everyone is entitled to a place where to practice their religion. The fact that the Islamic community requires that their right is respected does not mean that they are becoming more than the Christians, or more powerful.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
"All religions want to spread their beliefs, but no one ever does it with compulsion.",1
"There are plenty of examples of Arab people from the second generation, in accordance with their traditions of origin, they are perfectly integrated in Italy.",1
Muslims hate Christians. They want to kill all of us.,0
"In Europe we have different forms of terrorism eta, ira, even in Italy we have had various forms of terrorism, black and red. Even the Mafia has used terrorist strategies.",1
"Good evening, the main victims of the terrorist attacks are the inhabitants of Arab countries. For the most part, then, they are victims, not terrorists.",1
The beasts.,0
"I almost would like it. As a woman, I can say: a great saving on cosmetic products.",1
"I read in your words a total rejection of Muslims, but I do not understand why: the Muslims are men like many others in the world who believe in a monotheistic religion and practice it, that is far from being devoted to violence or abuse as some of the most violent minorities that maybe you are referring to.",1
The imposition of the burqa regards the most extreme fringe of Muslims.,1
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
"The veil is linked to a religious tradition, so, this would be possible if we share it with all.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Bombs on you, bad infamous people (enough is enough stinky)",0
"The napalm? So when they are still 'at home'? How sad, stupid generalizations.",1
A real Islamic invasion is taking place.,0
Oh yes? Then they are in good company of sovereign who would like to close doors and gates.,1
The construction of mosques can also facilitate the control of the state on any possible situation of radicalization.,1
How many Muslims have you met in your life to be able to make this kind of judgment?,1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
"Do you know that the religion that has proselytized most of all in the world, since the time of its foundation was Christianity?",1
Islamics must adapt to our culture and not viceversa.,0
But who says it has to be our future? Religions can live together!,1
"Saying that the Arabs want to impose their religion is wrong also as a concept: not all Arabs are Muslims, some are Christians like many Italians.",1
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
Reading comments of women who can write such nasty statements is even sadder.,1
It seems to me that the shame of the Italian school are very different.,1
"They began to build mosques everywhere, and so they compete with our churches.",0
"Hi, his statement is very strong, could you explain better what you mean by 'replace in our house'?",1
"According to the law, irregular immigrants can be repatriated, regardless of ethnicity (in this case, however, not on the boats, clearly). By what principle of law it should be repatriated an Arab with a valid permit?",1
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
Islam is a religion manipulated by terrorism that uses it as a shield. The same thing happened in the years of lead in Italy with terrorism that exploited political ideologies and parties.,1
"Also italians rape, are we going to castrate all of them?",1
Die islamic!,0
"They began to build mosques everywhere, and so they compete with our churches.",0
"I see that is increasingly widespread a climate of fear against Muslims, even the media do not help to distinguish between the correct and mild faith that the majority of Muslims profess, the speculations of politicians, and the infamous use of the manipulators of Islam, that cover in blood the Middle East and North Africa. But Islam is not terrorism.",1
"Why do you consider Muslims like beasts? Did they do something wrong? If you take into consideration the crimes committed by Muslims, why do you distinguish the Muslim criminals from the non-Muslim? They are all criminals and all of them are punished.",1
These animals.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
These animals.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Unfortunately, we don't permit them to build mosques, showing that we are the intolerant fundamentalist.",1
"Islam is a religion, like Christianity and Judaism, it has nothing to do with terrorism, it is a dangerous and offensive generalization.",1
Muslims hate Christians. They want to kill all of us.,0
I do not think it is in their interest.,1
"All terrorists? My aunt married an Arab man, have two wonderful children and live in the United States. The Arab man in this case has only won the heart of my aunt, no violence or bombs.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Hi, are you suggesting castration as a punishment in a civilized country like Italy?",1
"The phenomenon of terrorism is surely to keep under control, but do you know how many Muslims there are in the world, and how many terrorists?",1
"Your statement is very strong, based on what do you think that the Arabs want to impose their religion and command at our home? I do not see many Arabs in Italy and I do not even see actions in this direction, but perhaps I was not careful enough, if you helped me with some data I would be grateful.",1
If you would inform yourself and you would make a comparison between the number of churches and the number of mosques you would understand that what you are saying is false. And the number of mosques is far inferior to the number of churches.,1
"They began to build mosques everywhere, and so they compete with our churches.",0
They are replacing us in our house! They should remain at their home to put on the burqa and beat their wives.,0
"The Arabs are not all terrorists. The extremists represent only a small part of the total Muslim population. We should not generalize, but dialogue.",1
"I do not think you have to generalize the fact of extremism to the entire Islamic population. Is a mistake that many people make. Not all Muslims are terrorists. You have to talk to them, not to kill them.",1
"I do not think so, we westerners will arrive sooner to destroy the world.",1
Has anyone ever tried to convert you? Me nobody.,1
Perhaps to wish death at people is not the right approach to use.,1
"Not all Arabs are terrorists, in fact, many attacks damage also Arab people.",1
Revenge is always wrong. Also it is not correct to generalize because the majority of Islamic terrorism victims are Muslims themselves.,1
"But Salvini had not said that he would have repatriated them all with planes? Now we're back to the boats, don't you see that you racists can't be consistent?",1
We must invest in integration policies that allow us to bring together different cultures.,1
"Many victims of terrorism are Arab people, as many terrorists in history have been Italian. Victims and offenders, including terrorism, haven't a specific ethnicity or skin colour.",1
"On what basis do you do these statements? Actually, there are criminals everywhere and they have different ethnicities and religious affiliations. There are Italian rapists and Catholic priests that are paedophiles. But these cases should not allow us to identify all persons as criminals belonging to these categories.",1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
And reading it we can say that Christians hate Muslims.,1
The majority of Muslims live together peacefully with Christians without creating any problem. Terrorists in most cases were not even practicing Muslims.,1
"Watch out historical recurrences, this time blast-furnace will light!",0
The public school is laic: the crucifix should not really be there.,1
A real Islamic invasion is taking place.,0
"As specified in the reports of various associations such as Amnesty report, the violation of human rights is far distributed in the world. Western states do not shine for lack of violence, especially to foreign countries.",1
"As Italians are all mobsters, the Germans are all Nazis, but as you will know these are prejudices, such as yours on Arabs.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
The number of mosques in Italy is totally insignificant.,1
Being devoted to a religion does not mean proselytizing.,1
I do not see how belonging to the Muslim religion can somehow bring damage to others or spread diseases.,1
Let's not generalize. Being a Muslim does not mean being criminals and terrorists.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Dear, the reality is quite different, unfortunately for women, and for all of us, most of the violence is committed by Italians, read here https://www.istat.it/it/violenza-sulle-donne/il-fenomeno/violenza-dentro-e-fuori-la-famiglia/numero-delle-vittime-e-forme-di-violenza.",1
They are replacing us in our house! They should remain at their home to put on the burqa and beat their wives.,0
"No one can be considered an animal. Can you explain to me, why do you support this theory?",1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"The number of mosques is not even remotely comparable to the number of churches, let's not panic.",1
"Do you have any evidence that it happened in any European country, including those in which Muslims are more numerous?",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
It burns you up some business went sideways on a journey or had you studied at the 'Bar Sport'?,1
On what data and statistics do you make this statement?,1
Do you know the case of a Muslim who tried to close a church? I would be very curious to hear a story about that.,1
Are you saying you would go with great pleasure on dead bodies?,1
Muslims hate Christians. They want to kill all of us.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
But are we really still behind these bar's stereotypes ?,1
"Generalizing is always wrong. I also condemn those who commit certain crimes, but regardless of their religious beliefs or their nationality.",1
There is no better way to spread the terrorism that responding with violence.,1
The integration while respecting the traditions of all is the solution in many cases it is already happening.,1
"Italy unfortunately is full of unveiled women that are beaten by their men, where they should live?",1
"Bombs on you, bad infamous people (enough is enough stinky)",0
"There are more civil ways to constructively criticize, these lies also harm those who utter them.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
"Can you tell me the source to which you drew, to say that the Arabs are all terrorists and want to conquer us with violence and bombs? To me it appears that ISIS is composed of violent, but they are a minority and an extreme fringe of this community, not the entire community.",1
"Hello, the case to which I believe you refer would not be absolutely a defined choice based on religious reasons, but for food health issues.",1
"The hunger is already suffered by a considerable part of humanity, including diseases, so we have to worry about the existent, regardless of ethnic and religions.",1
Where did you obtain this information from? Can you send me the source?,1
"Excuse me, but to send them back with the boats would be necessary the traffickers, it is perhaps not the best idea.",1
"I find your comment extremely violent, it worries me.",1
"Hi, I read a lot of anger in this comment, could you explain it better to me?",1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Bombs on you, bad infamous people (enough is enough stinky)",0
The beasts.,0
From what do you presume it? Did you inform yourself well before writing the comment? I ask you to perform in-depth research.,1
From where do you obtained this information?,1
In the Koran it is clearly said that Christians and Jews should be respected.,1
"Without a little bit of common sense dangerous statements get out, it is better to think before shoot at random.",1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
For all who are you referring to? Your statement is very general.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"The question of the veil is open. The same Muslim women in some countries are struggling to get rid of it, for example, in Iran. We have to support their struggle.",1
Muslims hate Christians. They want to kill all of us.,0
On the same boat is a saying that should unite and remember that luck is a fickle thing.,1
"If you refer to extremists those exist in every religion and faith, it has nothing to do with Islam.",1
"The last bastion that we will have, will be the atomic bomb.",0
You should read less novels of political fiction. The idea that Muslims want to kill all the Christians is meaningless.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
The beasts.,0
It's like saying that Italians are all mobsters and they deserve life imprisonment.,1
